matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
52865,202601526,2026-05-04,2026-05-13,2026-05-13,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Appoint Christy Samad to Bicentennial Commons Board,Appoint Christy Samad to Bicentennial Commons Board for one year term.,elections and governance,citywide,"APPOINTMENT, submitted by Mayor Aftab Pureval, I hereby appoint Christy Samad to the Bicentennial Commons Board of Advisors for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White).",,success
52866,202601527,2026-05-04,2026-05-13,2026-05-13,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Appoint Karen Jackson to Human Services Advisory Committee,Appoint Karen Jackson to Human Services Advisory Committee for three years.,human services,citywide,"APPOINTMENT, submitted by Mayor Aftab Pureval, I hereby appoint Karen Jackson to the Human Services Advisory Committee for a term of three years. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/AA).",,success
52867,202601528,2026-05-04,2026-05-13,2026-05-13,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Appoint Kelsi Goins to Human Services Advisory Committee,Appoint Kelsi Goins to Human Services Advisory Committee for three years.,human services,citywide,"APPOINTMENT, submitted by Mayor Aftab Pureval, I hereby appoint Kelsi Goins to the Human Services Advisory Committee for a term of three years, replacing Lauren Merten. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/AA).",,success
52868,202601529,2026-05-04,2026-05-13,2026-05-13,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Appoint Gladys Pope to Human Services Advisory Committee,Appoint Gladys Pope to Human Services Advisory Committee for three years.,human services,citywide,"APPOINTMENT, submitted by Mayor Aftab Pureval, I hereby appoint Gladys Pope to the Human Services Advisory Committee for a term of three years, replacing Antoninette Perkins. This appointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/AA).",,success
52869,202601530,2026-05-05,2026-05-13,,Housing & Growth,Report,Agenda Ready,City Manager,,report,Report on LEED Tax Abatements,Report on LEED tax abatements from City Manager.,tax policy|housing,citywide,"REPORT, dated  5/13/2026, submitted Sheryl M. M. Long, City Manager, regarding LEED tax abatements. (Reference Document # 202600150)",,success
52874,202601535,2026-05-06,2026-05-13,2026-05-13,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit: Hyde Park Blast,Approve special event permit for Hyde Park Blast.,parks and recreation,Hyde Park,"REPORT, dated 5/13/2026, submitted by Sheryl M. M. Long, City Manager, regarding Special Event Permit Application for Hyde Park Blast.",,success
52875,202601536,2026-05-06,2026-05-13,2026-05-13,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit: Savanah Bananas Block Party,Approve special event permit for Savanah Bananas Block Party.,parks and recreation|arts and culture,citywide,"REPORT, dated 5/13/2026, submitted by Sheryl M. M. Long, City Manager, regarding Special Event Permit Application for Savanah Bananas Block Party.",,success
52876,202601537,2026-05-07,2026-05-13,2026-05-13,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit: Dewey's Run to Raise Dough 5K,Approve special event permit for Dewey's Run to Raise Dough 5K.,parks and recreation|health,citywide,"REPORT, dated 5/13/2026, submitted by Sheryl M. M. Long, City Manager, regarding Special Event Permit Application for Dewey’s Run to Raise Dough 5K.",,success
52878,202601538,2026-05-07,2026-05-13,2026-05-13,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit: Fourth of July,Approve special event permit for Fourth of July celebration.,parks and recreation|arts and culture,citywide,"REPORT, dated 5/13/2026, submitted by Sheryl M. M. Long, City Manager, regarding Special Event Permit Application for Fourth of July.",,success
52879,202601539,2026-05-07,2026-05-13,2026-05-13,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit: Northside Rock N Roll Carnival,Approve special event permit for Northside Rock N Roll Carnival.,parks and recreation|arts and culture,Northside,"REPORT, dated 5/13/2026, submitted by Sheryl M. M. Long, City Manager, regarding Special Event Permit Application for Northside Rock N Roll Carnival.",,success
52880,202601544,2026-05-07,2026-05-13,2026-05-13,Cincinnati City Council,Registration,Agenda Ready,Clerk of Council,,registration,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Emily Gra",,registrations and terminations,,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Emily Graeter, Cincinnati Regional Chamber, Director of Government Affairs & Advocacy, 3 E 4th Street, Cincinnati, Ohio 45202. (CINCINNATI REGIONAL CHAMBERS)",,success
52882,202601546,2026-05-07,2026-05-13,2026-05-13,Cincinnati City Council,Registration,Agenda Ready,Clerk of Council,,registration,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Victoria ",,registrations and terminations,,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Victoria Parks, Parks Consulting, Consultant, 6401 Aspen Way #1, Cincinnati, Ohio 45224. (KINGSLEY & CO).",,success
52883,202601547,2026-05-07,2026-05-19,,Public Safety & Quality of Life,Motion,Agenda Ready,Ryan James,,motion,City Hall Safety Procedures Review and Report,Review City Hall safety procedures and submit report within 15 days.,public safety|elections and governance,citywide,"MOTION, submitted by Councilmembers James, Albi, Jeffreys and Vice Mayor Kearney, WE MOVE that the Clerk of Council and city administration review safety procedures for City Hall and submit a report via presentation within 15 days regarding potential improvements to current policy to ensure a safe workplace for all city employees. (STATEMENT ATTACHED)",,success
52885,202601549,2026-05-08,2026-05-13,,"Budget, Finance & Governance Committee",Ordinance,Agenda Ready,City Manager,,emergency ordinance,Whex Garage Purchase and Development Agreement,Authorize $4M grant for Whex Garage renovation in Convention Center District.,economic development|infrastructure|budget,Downtown,"ORDINANCE (EMERGENCY) submitted by Sheryl M. M. Long, City Manager, on 5/13/2026, AUTHORIZING the City Manager to execute a Purchase, Funding, and Development Agreement with Whex Garage LLC, (a wholly-owned subsidiary of 3CDC), pursuant to which the City will: (i) purchase certain property located on the southwest corner of W. 5th Street and Elm Street in Cincinnati, (ii) then lease such property to Whex Garage LLC, and (iii) provide a grant in an amount not to exceed $4,000,000 to Whex Garage LLC to renovate the existing garage, commonly known as the Whex Garage, located on such property; ESTABLISHING new capital improvement program project account no. 980x105x261021, “Convention Center District Whex Garage TIF,” to provide resources for improvements to the Whex Garage and related infrastructure improvements; AUTHORIZING the transfer and return to source of $4,000,000 from capital improvement program project account no. 980x164x241620, “Convention Center District Urban Renewal TIF,” to the unappropriated surplus of Urban Renewal - Tax Increment Bond Fund 852; AUTHORIZING the transfer and appropriation of $4,000,000 from the unappropriated surplus of Urban Renewal - Tax Increment Bond Fund 852 to the newly established capital improvement program project account no. 980x105x261021, “Convention Center District Whex Garage TIF,” to provide resources for improvements to the Whex Garage and related infrastructure improvements; and DECLARING that (i) the improvement of the Whex Garage to be an urban renewal project located in an urban renewal area, each as defined in Ohio Revised Code Chapter 725, and (ii) expenditures from the newly established capital improvement program project account no. 980x105x261021, “Convention Center District Whex Garage TIF,” to provide resources for improvements to the Whex Garage and related infrastructure improvements serve a public purpose because the project will foster additional redevelopment and reinvestment in the Convention Center District in support of the City-owned Convention Center. (Subject to the Temporary Prohibition List <https://www.cincinnati-oh.gov/law/ethics/city-business>). <https://www.cincinnati-oh.gov/law/ethics/city-business%3e).>",,success
52886,202601550,2026-05-08,2026-05-13,,"Budget, Finance & Governance Committee",Ordinance,Agenda Ready,City Manager,,ordinance,Waterline Easement Vacation Plat Authorization,Authorize quitclaim of public utility easement in Silverton area.,utilities|legal and litigation,,"ORDINANCE submitted by Sheryl M. M. Long, City Manager, on 5/13/2026, AUTHORIZING the City Manager to execute a plat entitled Waterline Easement Vacation Plat Quitclaim E127-Q for Easement E127-WSL 1729 to release and quitclaim a portion of a public utility easement held by the City of Cincinnati for the use and benefit of Greater Cincinnati Water Works for a water main and associated appurtenances located in an upon certain real property located in Section 13, Town 4, E.R. 1 M.P. and Section 18, Town 4, F.R. 2, in the Village of Silverton, Hamilton County, Ohio. (Subject to the Temporary Prohibition List <https://www.cincinnati-oh.gov/law/ethics/city-business>). <https://www.cincinnati-oh.gov/law/ethics/city-business%3e).>",,success
52887,202601551,2026-05-08,2026-05-13,,"Budget, Finance & Governance Committee",Ordinance,Agenda Ready,City Manager,,emergency ordinance,Grant Applications for Road Infrastructure Projects,Authorize applications for up to $6M in transportation and infrastructure grants.,transportation|infrastructure|budget,citywide,"ORDINANCE (EMERGENCY) submitted by Sheryl M. M. Long, City Manager, on 5/13/2026, AUTHORIZING the City Manager to apply for various grants of up to $6,000,000 per application from the Metro Transit Infrastructure Fund (“MTIF”) program as awarded by the Southwest Ohio Regional Transit Authority (“SORTA”), the Municipal Road Fund (“MRF”) program awarded by Hamilton County,  the State Capital Improvement Program (“SCIP”), Local Transportation Improvement Program (“LTIP”), and Revolving Loan Program (“RLP”) grants awarded by the Ohio Public Works Commission (“OPWC”), and the Surface Transportation Block Grants (“STBG”), Congestion Mitigation/Air Quality (“CMAQ”) grants, Transportation Alternatives (“TA”) grants, and STBG Repaving program grants awarded by the Ohio-Kentucky-Indiana Regional Council of Governments (“OKI”) (ALN 20.205), to fund various City road, bridge, pedestrian, and bicycle construction projects identified in Attachment A.",,success
